,artista,id_artista,genero,tipo,nombre,anio_lanzamiento,id
131,Crown City Rockers,6DWOMOx9X1ECJWddiIhoAn,hip-hop,track,Throw Your Hands Up,2000,7GDSWc1SgZgvy7vogVUU5o
132,Binary Star,1bulNj9KHvx8haqJBFDSyz,hip-hop,track,Binary Shuffle (Intro),2000,6SSv20pgJ1sxx6O2RVGR6L
133,Quanie Cash,5bW5K5AcqPY9iIH1x5UQ2o,hip-hop,track,Mrs. Murda,2000,5iZUOSroQMmRKcfN0llzKl
134,Piccalo,23o9Ncwvo3Cv0olHPX4BaA,hip-hop,track,Massacre,2000,5gA8Yn0B3dw3H5qSSGqG9G
135,Sunspot Jonz,3yTmtBKkzOdxL74Yla3kp5,hip-hop,track,Streakz,2000,7mFwvnIFsK9ISAB8NCIH6P
136,Mr. Sche,2InAixh0wal3ODxRg678gV,hip-hop,track,You Must Didn't Heard,2000,5fCq8IwPeeUxU7NJ4M5AEo
137,Miracle,3RKd7skwQVyZzFKIecmN5R,hip-hop,track,Momma - Album Version (Edited),2000,1JUkTqERpqWN5fQobOIqPV
138,Tippa Irie,0LOA5HEzl7oNKhPeHXpeQk,hip-hop,track,Soon Come,2000,0J8riCRrhBFyWtXSOj0cfe
139,Poison Clan,106fMajIkloDbzbznQHX4n,hip-hop,track,I Hate Hoes,2000,0YLiqEFEcseaeT3mc3HrhA
140,Quanie Cash,5bW5K5AcqPY9iIH1x5UQ2o,hip-hop,track,God Bless Me,2000,3lmSavhVSTXWHvVsUlc86y
141,Miracle,3RKd7skwQVyZzFKIecmN5R,hip-hop,track,If The Sun Don't Shine - Album Version (Edited),2000,3s5V9irLBgXXnNVzftAIAu
142,Mr Del,72OoayCtuiXdffq3pECRFF,hip-hop,track,Country Girlz,2000,6f8cHawKzf8YhVCvjgGHcQ
143,Mo'vez Lang,2kA8Nqtnc8XDDVJrh1a5WW,hip-hop,track,Freestyle,2000,0k4MdlDNSQyiYBOtXj0ye9
144,Honey Family,0Wv8nB1Ld3I7SdxKeHkxmX,hip-hop,track,얼렐레,2000,6A1OkXmLjvYpXmbX1StnVA
145,Llwybr Llaethog,3RoyMb5sD9K3r5JyCXdwfN,hip-hop,track,Gimi Gimi,2000,3pLairaqlZgvbeL0UswmZ1
146,Mr. Sche,2InAixh0wal3ODxRg678gV,hip-hop,track,See Us Fall,2000,7LjPOeQE9Uo6RwJj2H10Pg
147,Darkroom Familia Present: A.L.G.,3ydRCVy3dm7ZNZuYs5rzmQ,hip-hop,track,Dayz Like This,2000,6W6l2Y9CWmdu0ROYWUatZ9
148,Cali Agents,5lUJxGxTTkeRC5xAouxIe4,hip-hop,track,Crash the Boards,2000,2Gxl5mPAIysyoyxzga4Cx0
149,Brassmunk,0mkac0FVvXY3uiOvQlcmtj,hip-hop,track,Big,2000,1TTsMedzEtD2uQ66Yu1kFq
150,Miracle,3RKd7skwQVyZzFKIecmN5R,hip-hop,track,Huntin' Season - Album Version (Edited),2000,2dDVnj61V6BavIghM7apJt
151,Tystion,4CRdQibsWfDfobRZqfk4K7,hip-hop,track,"New Deal, New Dead",2000,62dak7N1tq9401FVjFjpv4
152,D.J. Pinky,2AEliOJmG8mPmcBv43Btz9,hip-hop,track,Judgement Day,2000,1aehTpNCnJTTUp3C4CpbmA
153,Orko Eloheim,49oVbaZhv8EuUmM1vif0iw,hip-hop,track,Jungle Is HipHop,2000,6cWQB0sGkXTurhkjjTakhW
154,Agent Sasco (Assassin),0CiLVKp7LJTm0c8jdUmQNy,hip-hop,track,4 Tha Luv Of Money,2000,5XzXOdTGv7m1bKnvxv6rFN
155,Mr Del,72OoayCtuiXdffq3pECRFF,hip-hop,track,The Night,2000,51pP2PipAolFOtkwscDI6X
156,Moka Only,7G9ZUoEjbi5Z2bR5w60S0h,hip-hop,track,La La La,2000,07SNDe2nNLhJdZMTYqIbCE
157,Darkroom Familia Presents: Brown Area,6Fnx1y362E5xOpew1Aep8x,hip-hop,track,Assume the Position,2000,2xTmRDQ1Yhu5tr0THUb1TL
158,2 LIVE CREW,58Dx4HPzeOO3dbpD9YYEes,hip-hop,track,Banned In The U.S.A. (Live In Concert),2000,0ruu9Fv2sgefIkTcCg5e9g
159,Disflex6,7lSzocc1Sb2QQfRODNDfwC,hip-hop,track,Oracle,2000,1HEde0pRUI6Pds19QmMGut
160,Darkroom Familia Presents: Brown Area,6Fnx1y362E5xOpew1Aep8x,hip-hop,track,Damned If I,2000,7zY2v51rfSRwGliJBZqzvb
161,Disflex6,7lSzocc1Sb2QQfRODNDfwC,hip-hop,track,Agent Orange III,2000,1q9osglKrcpu98VQtMo8RK
162,ZEEBRA,3zFZk4H2XhV8bCRDyPir54,hip-hop,track,OUTRO,2000,2KNuonrZJqvMkR8Hrbl1cX
163,D.J. Pinky,2AEliOJmG8mPmcBv43Btz9,hip-hop,track,Grandma Yay,2000,3UGnrZ811aKb1EAPjPYf8N
164,CAS,7sDHWFJ43ZdXSLXqQTodkW,hip-hop,track,Min Freak,2000,24zOblrb8PGAcT3vfmUoQd
165,Field Mob,0Uo6kyjrbQoZBlcXsMb8Vm,hip-hop,track,Hey Shawty,2000,0UVTbTEgbtFEg5OFqzBtMI
166,Trilogia,1nZlKzem9uzBMMy6hnYNte,hip-hop,track,Hei (Instrumental),2000,6pvvO9B1aCHJ1gMBwrhfuR
167,THC,3x1d5o5eEf7QeNrqAIeQkV,hip-hop,track,Wishing on a Star,2000,31u7f4atJoQw698EN9uAyI
168,PMula,4WFtixhvF2xaGk1WQuJsq8,hip-hop,track,Mboko Imboko,2000,1pKkIWt0oJgxFPodCpmT2A
169,Slm52,2V0vzOu864ZF7KXTBhjzre,hip-hop,track,Kampftag,2000,2Ug9K1M8diCgbipt0ZPk3L
170,Point Blank,5Nz0G9zAjZVmIgqtGfHham,hip-hop,track,Just Jokin,2000,7ecBSeg2saDDEBLLTrv21L
171,C-Bo,1zrMGaRSRvx67vF4xzvUcu,hip-hop,track,Picture Me Ballin',2000,5PHlOTOMRAGkkg7xjZBqyK
172,Mr Mack,4XhooGGWT2VcVpRz1A8D4O,hip-hop,track,Boiler Room (Intro),2000,6N7UCW8vMPkrRd42vRGFzN
173,RM,06vJVRBMbp4o11xulzeT1z,hip-hop,track,"I'm Tired, Robert Morin",2000,7I9j8ElyUwCqUPoV6DxhPF
174,Kritical Distrezz,7yTkZTWuPrgktBzkQSud0s,hip-hop,track,Asinine,2000,3T8W41QDVFtMAFdUO765TF
175,Piccalo,23o9Ncwvo3Cv0olHPX4BaA,hip-hop,track,Nigga What,2000,0YY0G5UusTNpslYiZ6K6Ny
176,John Smith,67kwWnXnO1XT2PkNekoVFr,hip-hop,track,Long Rain,2000,5yKebnc4VUnk7md4tqbdPC
177,Point Blank,5Nz0G9zAjZVmIgqtGfHham,hip-hop,track,It Wasn't Me,2000,75HQ0P2P8moDWB9U5kobJ0
178,DJ Clue,1g8uGVofjr2ApBrI8OZhJf,hip-hop,track,Phone Patch - Album Version (Edited),2000,2QS2Z6NSSCwefXQY1mKGAh
179,Salaam Remi,0rlS0SzVFk8BoiAW0fGBbN,hip-hop,track,Wifey,2000,5vIzEdc7HRY1Fc5QXRy2iF
180,Drama,1DMUoszTJYruOq4wfJPLSB,hip-hop,track,Double Time (Drama's Cadence),2000,3F4UpQWFRlwk5ZGqY0NJn7
181,2 LIVE CREW,58Dx4HPzeOO3dbpD9YYEes,hip-hop,track,Do The Wild Thing,2000,6xg1acby8j8rXSTCXTYysZ
182,CAS,7sDHWFJ43ZdXSLXqQTodkW,hip-hop,track,Reflexion - Intro,2000,2CEm6cTKC02nbw9Q0HAU4z
183,Mr Mack,4XhooGGWT2VcVpRz1A8D4O,hip-hop,track,No Love,2000,0vs8pHVmrZ0o6ffTNsTbdc
184,Rubberoom,5ISXytUQ67bUccZyaG9CLD,hip-hop,track,Vertigo,2000,11TJijT8HcWYfF376lEonG
185,Mr Del,72OoayCtuiXdffq3pECRFF,hip-hop,track,One,2000,4kRCPpFkHOiZGt8DmeVYM2
186,Mr. Sche,2InAixh0wal3ODxRg678gV,hip-hop,track,Stand Alone,2000,3nBRoc2CCIfEps7cUrLa38
187,CAS,7sDHWFJ43ZdXSLXqQTodkW,hip-hop,track,Når Du Lyver For Dig Selv,2000,5Qi9zKLMH59WRDD5n97CeO
