,artista,id_artista,genero,tipo,nombre,anio_lanzamiento,id
100,Nia Daniaty,1freizSDolBV4AwUXYmufs,pop,track,Masih Adakah Rindu,2000,3TAyQPLBTl0xvmyQT1hlqB
101,David Rose,2nv8pUrGHqpVzYvQCyiKjk,pop,track,Bewitched,2000,62tssIIWGlcYYZD3hVkO4z
102,Peter Vesth,4v4K2NfoxpdfRsZ9UGZkUj,pop,track,My Little Mountain Flower,2000,5DIJb4oj5Iz8KJMyMXADB0
103,nGomA,78gL5QHHmz1kigRfT5WvjM,pop,track,Intro,2000,6sB5sRsSH4o3ImFUKLH9Ux
104,Ted Heath,4v8G8fM1P0Nrn9nZZW0ziT,pop,track,Limehouse Blues,2000,7jKGorFJRsDtkR7cf9z3PL
105,Gopal Rai,2GDtXTrKDFzZYFooMvlNL7,pop,track,Dinbandhu Dinanath,2000,5t7T7K54pqTrIxQqdAzhQE
106,Dragan Saulic,2nOS3oyMAXFuk6BaFPJ8y3,pop,track,Sunce I zora,2000,5nXuXalEjhDHOXj0z4MlsK
107,Karnail Rana,6Rolu1zclCZT60kZuPamx4,pop,track,Sun Wo Pahadiyan Bhagta,2000,2WTz8Bp8Wq5lINvEL5vEd3
108,Phượng Mai,2Jt8gyQdLTNWbGXBQCeFNX,pop,track,Nỗi Lòng Người Đi,2000,3HNqx5lohDk0jUUa6d5F6a
109,Edward Jayakody,5vEOJqGp3u64wA0HA3a7nc,pop,track,Thanikale Ai,2000,3S4jnfReJvNPleJbrPzec0
110,Julie,5PTC90Djm2KBfRkxiZfCgh,pop,track,Bài ngợi ca tình yêu,2000,5D6crlqUyoxe0z2YKq4trL
111,Dimitris Kokotas,1TA60gQWotVjZEJhUdbjtB,pop,track,Kalinyhta - Chris K Remix,2000,7GBku2bfe24dMX5878wLfR
112,Titti Bianchi,0jWstm6MkI0Q1aKQvSyMPs,pop,track,Canzone d'amore/Valzer,2000,31qRLB22MupKBUS2WKHPD8
113,Paula Seling,0GeZRE8dyvgduV3KTvLFC3,pop,track,When All is Said and Done,2000,1pzIv9V3qdWYBMtnvYRcH1
114,Hương Lan,7KOMoBXp30tI5E6SA0NQVn,pop,track,Lý Con Cò,2000,25BG9ocmftj21AkDtU36iZ
115,Nachiketa Chakraborty,77MQhYJ01hRivFGS5hXjTY,pop,track,Haater Muthoy,2000,6S9qxLP1YWHJVev0Cf8Vcy
