,Artist,Biography,Listeners,Playcount,Similar
501,Poor Genetic Material,"Poor Genetic Material are:
    *  Stefan Glomb
    * Philipp Jaehne
    * Phil Griffiths
    * Dennis Sturm
    * Dominik Steinbacher

http://www.poorgeneticmaterial.de <a href=""https://www.last.fm/music/Poor+Genetic+Material"">Read more on Last.fm</a>",1214,20706,"('Alias Eye', 'Slychosis', 'Seven Steps to the Green Door', 'Jack Foster III', 'Martigan')"
502,Iwa K,"Iwa K (born Iwa Kusuma in Bandung, West Java, Indonesia, October 25, 1970; name sometimes spelled Iwa-K) is Indonesia's best known rapper. He was the first rapper to come to prominence, beginning his musical career in the late 1980s. He is the first Indonesian rapper to have released a full-length album (Kuingin Kembali), in 1992 or 1993. <a href=""https://www.last.fm/music/Iwa+K"">Read more on Last.fm</a>",8396,84968,"('Base Jam', 'Andre Hehanusa', 'KLa Project', 'Katon Bagaskara', 'Bening')"
503,Seagull Screaming Kiss Her Kiss Her,"Seagull Screaming Kiss Her Kiss Her was a band from Japan formed by Aiha Higurashi in 1992, and eventually split up in 2002. Their musical style contained elements of indie rock and, to a lesser extent, Shibuya-kei.

What started with a girl humming and singing on a tape recorder quickly turned into one of the most prominent bands in the Japanese underground scene. The original members of Seagull Screaming Kiss Her Kiss Her were Aiha Higurashi (Vocal and Guitar) and Sachiko Ito (Bass). <a href=""https://www.last.fm/music/Seagull+Screaming+Kiss+Her+Kiss+Her"">Read more on Last.fm</a>",21639,366682,"('NUMBER GIRL', 'POLYSICS', 'ZAZEN BOYS', 'ねごと', 'bloodthirsty butchers')"
504,Ronnie Self,"Ronnie Self (July 5, 1938 - August 28, 1981) was a rockabilly singer and songwriter. His solo career was unsuccessful, despite being signed to contracts with Columbia and then Decca from the late 1950s through the early 1960s, he failed to chart a single song. However, Brenda Lee's cover of his song I'm Sorry became a major pop classic.

His music today is more popular within the rockabilly scene than it ever has been in the past. Many of his recordings can be heard at record hops today and some of his big songs are:  <a href=""https://www.last.fm/music/Ronnie+Self"">Read more on Last.fm</a>",32488,165862,"('Johnny Carroll', 'Joe Clay', 'The Collins Kids', 'Eddie Bond', 'Jack Earls')"
505,Terry Noland,"Of the assorted Texas rockabillies who plied their wares in Norman Petty's Clovis, NM, studio, the least heralded is Terry Noland. Much of this has to do with Noland jumping ship early in the ball game from Petty's direction to head to New York City with teen stardom waiting in the wings. He cut sides there with Tonight Show musical director Milton DeLugg swinging the baton and little else, jumping from the back-to-back West Texas rockabilly sound of ""Ten Little Women"" and the title cut to lightweight pop fluff like ""Puppy Love <a href=""https://www.last.fm/music/Terry+Noland"">Read more on Last.fm</a>",3072,12139,"('Billy Harlan', 'Buddy Covelle', 'Roy Hall', 'Lafayette Yarborough', 'Johnny Bell')"
506,Gigi Moto," <a href=""https://www.last.fm/music/Gigi+Moto"">Read more on Last.fm</a>",869,8318,"('Neviss', 'Core22', 'Monotales', 'Lea Lu', 'Adrian Solo')"
507,Katteni Shiyagare,"勝手にしやがれ <a href=""https://www.last.fm/music/+noredirect/Katteni+Shiyagare"">Read more on Last.fm</a>",686,8127,()
508,Stephen Cummings,"Stephen Cummings is an Australian singer, songwriter and author. He is best known as the lead singer of the popular 1970s–1980s Melbourne-based rock band, The Sports. Following their breakup in 1981, Cummings has pursued a solo career which has met critical acclaim but has had limited commercial success. He has published three novels, Wonder Boy (1996), Stay Away From Lightning Girl, and Kitchen Man, and a memoir, WIll it Be Funny Tomorrow, Billy? <a href=""https://www.last.fm/music/Stephen+Cummings"">Read more on Last.fm</a>",2710,44126,"('Mark Seymour', 'Joe Camilleri', 'Jon Stevens', 'Weddings Parties Anything', 'Matt Finish')"
509,André Duchesne,"André Duchesne is a self-taught composer and guitarist who is known for the work he has done to liberate musical expression. Passing through rock, traditional music, song, and improvisation, Duchesne has been making his way through the world of music for more than 30 years. The founder of the groups Conventum, Les Quatre Guitaristes de l’Apocalypso Bar, and Locomotive, he has also written for brass ensembles and string quartets. Duchesne composed the music for the 150th anniversary celebrations for the town of Jonquière <a href=""https://www.last.fm/music/Andr%C3%A9+Duchesne"">Read more on Last.fm</a>",441,5680,"('Guigou Chenevier', 'Finnegans Wake', 'Miriodor', 'Volapük', ""5uu's"")"
510,Dust Rhinos,"If your band consists of fiddles, mandolins, and something called a bodhran, and your audience looks like it could hold its own at a soccer hooligan convention, you’d bloody well better be able to use those instruments to mercifully bludgeon that rumbly bunch with a Celtic sonic assault that will leave them pounding on the bar, picking each other up off the Guinness-soaked floor, and screaming for one more song.

It also wouldn’t hurt if your combined weight is roughly that of the Canadian women’s hockey team in full gear. <a href=""https://www.last.fm/music/Dust+Rhinos"">Read more on Last.fm</a>",3929,35249,"(""Hadrian's Wall"", 'The Righs', 'Greenwich Meantime', 'Icewagon Flu', 'Gael Force')"
